governor,state,year,party
Jay Inslee,Washington,2018,Democrat
Jim Justice,West Virginia,2018,Republican
Scott Walker,Wisconsin,2018,Republican
Matthew Mead,Wyoming,2018,Republican
Robert Bentley,Alabama,2017,Republican
Bill Walker,Alaska,2017,Independent
Lolo Matalasi Moliga,American Samoa,2017,Independent
Doug Ducey,Arizona,2017,Republican
Asa Hutchinson,Arkansas,2017,Republican
Edmund G. Brown,California,2017,Democrat
John Hickenlooper,Colorado,2017,Democrat
Dannel Malloy,Connecticut,2017,Democrat
John Carney,Delaware,2017,Democrat
Rick Scott,Florida,2017,Republican
Nathan Deal,Georgia,2017,Republican
Eddie Baza Calvo,Guam,2017,Republican
David Ige,Hawaii,2017,Democrat
"C. L. ""Butch"" Otter",Idaho,2017,Republican
Bruce Rauner,Illinois,2017,Republican
Eric Holcomb,Indiana,2017,Republican
Kim Reynolds,Iowa,2017,Republican
Sam Brownback,Kansas,2017,Republican
Matt Bevin,Kentucky,2017,Republican
John Bel Edwards,Louisiana,2017,Democrat
Paul LePage,Maine,2017,Republican
Larry Hogan,Maryland,2017,Republican
Charlie Baker,Massachusetts,2017,Republican
Rick Snyder,Michigan,2017,Republican
Mark Dayton,Minnesota,2017,Democrat
Phil Bryant,Mississippi,2017,Republican
Eric Greitens,Missouri,2017,Republican
Steve Bullock,Montana,2017,Democrat
Pete Ricketts,Nebraska,2017,Republican
Brian Sandoval,Nevada,2017,Republican
Chris Sununu,New Hampshire,2017,Republican
Christopher Christie,New Jersey,2017,Republican
Susana Martinez,New Mexico,2017,Republican
Andrew Cuomo,New York,2017,Democrat
Roy Cooper,North Carolina,2017,Democrat
Doug Burgum,North Dakota,2017,Republican
Ralph Deleon Guerrero Torres,Northern Mariana Islands,2017,Republican
John Kasich,Ohio,2017,Republican
Mary Fallin,Oklahoma,2017,Republican
Kate Brown,Oregon,2017,Democrat
Tom Wolf,Pennsylvania,2017,Democrat
Ricardo Rosselló,Puerto Rico,2017,New Progressive Party (Puerto Rico)
Gina Raimondo,Rhode Island,2017,Democrat
Henry McMaster,South Carolina,2017,Republican
Dennis Daugaard,South Dakota,2017,Republican
Bill Haslam,Tennessee,2017,Republican
Greg Abbott,Texas,2017,Republican
Gary Richard Herbert,Utah,2017,Republican
Phil Scott,Vermont,2017,Republican
Kenneth Mapp,Virgin Islands,2017,Independent
Terry McAuliffe,Virginia,2017,Democrat
Jay Inslee,Washington,2017,Democrat
Jim Justice,West Virginia,2017,Republican
Scott Walker,Wisconsin,2017,Republican
Matthew Mead,Wyoming,2017,Republican
Robert Bentley,Alabama,2016,Republican
Bill Walker,Alaska,2016,Independent
Lolo Matalasi Moliga,American Samoa,2016,Independent
Doug Ducey,Arizona,2016,Republican
Asa Hutchinson,Arkansas,2016,Republican
Edmund G. Brown,California,2016,Democrat
John Hickenlooper,Colorado,2016,Democrat
Dannel Malloy,Connecticut,2016,Democrat
Jack Markell,Delaware,2016,Democrat
Rick Scott,Florida,2016,Republican
Nathan Deal,Georgia,2016,Republican
Eddie Baza Calvo,Guam,2016,Republican
David Ige,Hawaii,2016,Democrat
"C. L. ""Butch"" Otter",Idaho,2016,Republican
Bruce Rauner,Illinois,2016,Republican
Mike Pence,Indiana,2016,Republican
Terry E. Branstad,Iowa,2016,Republican
Sam Brownback,Kansas,2016,Republican
Matt Bevin,Kentucky,2016,Republican
John Bel Edwards,Louisiana,2016,Democrat
Paul LePage,Maine,2016,Republican
Larry Hogan,Maryland,2016,Republican
Charlie Baker,Massachusetts,2016,Republican
Rick Snyder,Michigan,2016,Republican
Mark Dayton,Minnesota,2016,Democrat
Phil Bryant,Mississippi,2016,Republican
Jeremiah W. (Jay) Nixon,Missouri,2016,Democrat
Steve Bullock,Montana,2016,Democrat
Pete Ricketts,Nebraska,2016,Republican
Brian Sandoval,Nevada,2016,Republican
Maggie Hassan,New Hampshire,2016,Democrat
Christopher Christie,New Jersey,2016,Republican
Susana Martinez,New Mexico,2016,Republican
Andrew Cuomo,New York,2016,Democrat
Pat McCrory,North Carolina,2016,Republican
Doug Burgum,North Dakota,2016,Republican
Ralph Deleon Guerrero Torres,Northern Mariana Islands,2016,Republican
John Kasich,Ohio,2016,Republican
Mary Fallin,Oklahoma,2016,Republican
Kate Brown,Oregon,2016,Democrat
Tom Wolf,Pennsylvania,2016,Democrat
Alejandro Javier García Padilla,Puerto Rico,2016,Popular Democratic Party (Puerto Rico)
Gina Raimondo,Rhode Island,2016,Democrat
Nikki R. Haley,South Carolina,2016,Republican
Dennis Daugaard,South Dakota,2016,Republican
Bill Haslam,Tennessee,2016,Republican
Greg Abbott,Texas,2016,Republican
Gary Richard Herbert,Utah,2016,Republican
Peter Shumlin,Vermont,2016,Democrat
Kenneth Mapp,Virgin Islands,2016,Independent
Terry McAuliffe,Virginia,2016,Democrat
Jay Inslee,Washington,2016,Democrat
Earl Ray Tomblin,West Virginia,2016,Democrat
Scott Walker,Wisconsin,2016,Republican
Matthew Mead,Wyoming,2016,Republican
Robert Bentley,Alabama,2015,Republican
Bill Walker,Alaska,2015,Independent
Lolo Matalasi Moliga,American Samoa,2015,Independent
Doug Ducey,Arizona,2015,Republican
Asa Hutchinson,Arkansas,2015,Republican
Edmund G. Brown,California,2015,Democrat
John Hickenlooper,Colorado,2015,Democrat
Dannel Malloy,Connecticut,2015,Democrat
Jack Markell,Delaware,2015,Democrat
Rick Scott,Florida,2015,Republican
Nathan Deal,Georgia,2015,Republican
Eddie Baza Calvo,Guam,2015,Republican
David Ige,Hawaii,2015,Democrat
"C. L. ""Butch"" Otter",Idaho,2015,Republican
Bruce Rauner,Illinois,2015,Republican
Mike Pence,Indiana,2015,Republican
Terry E. Branstad,Iowa,2015,Republican
Sam Brownback,Kansas,2015,Republican
Matt Bevin,Kentucky,2015,Republican
Bobby Jindal,Louisiana,2015,Republican
Paul LePage,Maine,2015,Republican
Larry Hogan,Maryland,2015,Republican
Charlie Baker,Massachusetts,2015,Republican
Rick Snyder,Michigan,2015,Republican
Mark Dayton,Minnesota,2015,Democrat
Phil Bryant,Mississippi,2015,Republican
Jeremiah W. (Jay) Nixon,Missouri,2015,Democrat
Steve Bullock,Montana,2015,Democrat
Pete Ricketts,Nebraska,2015,Republican
Brian Sandoval,Nevada,2015,Republican
Maggie Hassan,New Hampshire,2015,Democrat
Christopher Christie,New Jersey,2015,Republican
Susana Martinez,New Mexico,2015,Republican
Andrew Cuomo,New York,2015,Democrat
Pat McCrory,North Carolina,2015,Republican
Jack Dalrymple,North Dakota,2015,Republican
Ralph Deleon Guerrero Torres,Northern Mariana Islands,2015,Republican
John Kasich,Ohio,2015,Republican
Mary Fallin,Oklahoma,2015,Republican
Kate Brown,Oregon,2015,Democrat
Tom Wolf,Pennsylvania,2015,Democrat
Alejandro Javier García Padilla,Puerto Rico,2015,Popular Democratic Party (Puerto Rico)
Gina Raimondo,Rhode Island,2015,Democrat
Nikki R. Haley,South Carolina,2015,Republican
Dennis Daugaard,South Dakota,2015,Republican
Bill Haslam,Tennessee,2015,Republican
Greg Abbott,Texas,2015,Republican
Gary Richard Herbert,Utah,2015,Republican
Peter Shumlin,Vermont,2015,Democrat
Kenneth Mapp,Virgin Islands,2015,Independent
Terry McAuliffe,Virginia,2015,Democrat
Jay Inslee,Washington,2015,Democrat
Earl Ray Tomblin,West Virginia,2015,Democrat
Scott Walker,Wisconsin,2015,Republican
Matthew Mead,Wyoming,2015,Republican
Robert Bentley,Alabama,2014,Republican
Bill Walker,Alaska,2014,Independent
Lolo Matalasi Moliga,American Samoa,2014,Independent
Jan Brewer,Arizona,2014,Republican
Mike Beebe,Arkansas,2014,Democrat
Edmund G. Brown,California,2014,Democrat
John Hickenlooper,Colorado,2014,Democrat
Dannel Malloy,Connecticut,2014,Democrat
Jack Markell,Delaware,2014,Democrat
Rick Scott,Florida,2014,Republican
Nathan Deal,Georgia,2014,Republican
Eddie Baza Calvo,Guam,2014,Republican
David Ige,Hawaii,2014,Democrat
"C. L. ""Butch"" Otter",Idaho,2014,Republican
Pat Quinn,Illinois,2014,Democrat
Mike Pence,Indiana,2014,Republican
Terry E. Branstad,Iowa,2014,Republican
Sam Brownback,Kansas,2014,Republican
Steven L. Beshear,Kentucky,2014,Democrat
Bobby Jindal,Louisiana,2014,Republican
Paul LePage,Maine,2014,Republican
Martin O'Malley,Maryland,2014,Democrat
Deval Patrick,Massachusetts,2014,Democrat
Rick Snyder,Michigan,2014,Republican
Mark Dayton,Minnesota,2014,Democrat
Phil Bryant,Mississippi,2014,Republican
Jeremiah W. (Jay) Nixon,Missouri,2014,Democrat
Steve Bullock,Montana,2014,Democrat
Dave Heineman,Nebraska,2014,Republican
Brian Sandoval,Nevada,2014,Republican
Maggie Hassan,New Hampshire,2014,Democrat
Christopher Christie,New Jersey,2014,Republican
Susana Martinez,New Mexico,2014,Republican
Andrew Cuomo,New York,2014,Democrat
Pat McCrory,North Carolina,2014,Republican
Jack Dalrymple,North Dakota,2014,Republican
Eloy Inos,Northern Mariana Islands,2014,Republican
John Kasich,Ohio,2014,Republican
Mary Fallin,Oklahoma,2014,Republican
"John A. Kitzhaber, M.D.",Oregon,2014,Democrat
Tom Corbett,Pennsylvania,2014,Republican
Alejandro Javier García Padilla,Puerto Rico,2014,Popular Democratic Party (Puerto Rico)
Lincoln Chafee,Rhode Island,2014,Democrat
Nikki R. Haley,South Carolina,2014,Republican
Dennis Daugaard,South Dakota,2014,Republican
Bill Haslam,Tennessee,2014,Republican
Rick Perry,Texas,2014,Republican
Gary Richard Herbert,Utah,2014,Republican
Peter Shumlin,Vermont,2014,Democrat
"John de Jongh, Jr.",Virgin Islands,2014,Democrat
Terry McAuliffe,Virginia,2014,Democrat
Jay Inslee,Washington,2014,Democrat
Earl Ray Tomblin,West Virginia,2014,Democrat
Scott Walker,Wisconsin,2014,Republican
Matthew Mead,Wyoming,2014,Republican
Robert Bentley,Alabama,2013,Republican
Sean Parnell,Alaska,2013,Republican
Lolo Matalasi Moliga,American Samoa,2013,Independent
Jan Brewer,Arizona,2013,Republican
Mike Beebe,Arkansas,2013,Democrat
Edmund G. Brown,California,2013,Democrat
John Hickenlooper,Colorado,2013,Democrat
Dannel Malloy,Connecticut,2013,Democrat
Jack Markell,Delaware,2013,Democrat
Rick Scott,Florida,2013,Republican
Nathan Deal,Georgia,2013,Republican
Eddie Baza Calvo,Guam,2013,Republican
Neil Abercrombie,Hawaii,2013,Democrat
"C. L. ""Butch"" Otter",Idaho,2013,Republican
Pat Quinn,Illinois,2013,Democrat
Mike Pence,Indiana,2013,Republican
Terry E. Branstad,Iowa,2013,Republican
Sam Brownback,Kansas,2013,Republican
Steven L. Beshear,Kentucky,2013,Democrat
Bobby Jindal,Louisiana,2013,Republican
Paul LePage,Maine,2013,Republican
Martin O'Malley,Maryland,2013,Democrat
Deval Patrick,Massachusetts,2013,Democrat
Rick Snyder,Michigan,2013,Republican
Mark Dayton,Minnesota,2013,Democrat
Phil Bryant,Mississippi,2013,Republican
Jeremiah W. (Jay) Nixon,Missouri,2013,Democrat
Steve Bullock,Montana,2013,Democrat
Dave Heineman,Nebraska,2013,Republican
Brian Sandoval,Nevada,2013,Republican
Maggie Hassan,New Hampshire,2013,Democrat
Christopher Christie,New Jersey,2013,Republican
Susana Martinez,New Mexico,2013,Republican
Andrew Cuomo,New York,2013,Democrat
Pat McCrory,North Carolina,2013,Republican
Jack Dalrymple,North Dakota,2013,Republican
Eloy Inos,Northern Mariana Islands,2013,Republican
John Kasich,Ohio,2013,Republican
Mary Fallin,Oklahoma,2013,Republican
"John A. Kitzhaber, M.D.",Oregon,2013,Democrat
Tom Corbett,Pennsylvania,2013,Republican
Alejandro Javier García Padilla,Puerto Rico,2013,Popular Democratic Party (Puerto Rico)
Lincoln Chafee,Rhode Island,2013,Democrat
Nikki R. Haley,South Carolina,2013,Republican
Dennis Daugaard,South Dakota,2013,Republican
Bill Haslam,Tennessee,2013,Republican
Rick Perry,Texas,2013,Republican
Gary Richard Herbert,Utah,2013,Republican
Peter Shumlin,Vermont,2013,Democrat
"John de Jongh, Jr.",Virgin Islands,2013,Democrat
Robert McDonnell,Virginia,2013,Republican
Jay Inslee,Washington,2013,Democrat
Earl Ray Tomblin,West Virginia,2013,Democrat
Scott Walker,Wisconsin,2013,Republican
Matthew Mead,Wyoming,2013,Republican
Robert Bentley,Alabama,2012,Republican
Sean Parnell,Alaska,2012,Republican
Togiola T. A. Tulafono,American Samoa,2012,Democrat
Jan Brewer,Arizona,2012,Republican
Mike Beebe,Arkansas,2012,Democrat
Edmund G. Brown,California,2012,Democrat
John Hickenlooper,Colorado,2012,Democrat
Dannel Malloy,Connecticut,2012,Democrat
Jack Markell,Delaware,2012,Democrat
Rick Scott,Florida,2012,Republican
Nathan Deal,Georgia,2012,Republican
Eddie Baza Calvo,Guam,2012,Republican
Neil Abercrombie,Hawaii,2012,Democrat
"C. L. ""Butch"" Otter",Idaho,2012,Republican
Pat Quinn,Illinois,2012,Democrat
Mitch Daniels,Indiana,2012,Republican
Terry E. Branstad,Iowa,2012,Republican
Sam Brownback,Kansas,2012,Republican
Steven L. Beshear,Kentucky,2012,Democrat
Bobby Jindal,Louisiana,2012,Republican
Paul LePage,Maine,2012,Republican
Martin O'Malley,Maryland,2012,Democrat
Deval Patrick,Massachusetts,2012,Democrat
Rick Snyder,Michigan,2012,Republican
Mark Dayton,Minnesota,2012,Democrat
Phil Bryant,Mississippi,2012,Republican
Jeremiah W. (Jay) Nixon,Missouri,2012,Democrat
Brian Schweitzer,Montana,2012,Democrat
Dave Heineman,Nebraska,2012,Republican
Brian Sandoval,Nevada,2012,Republican
John Lynch,New Hampshire,2012,Democrat
Christopher Christie,New Jersey,2012,Republican
Susana Martinez,New Mexico,2012,Republican
Andrew Cuomo,New York,2012,Democrat
Bev Perdue,North Carolina,2012,Democrat
Jack Dalrymple,North Dakota,2012,Republican
Benígno Fitial,Northern Mariana Islands,2012,Republican
John Kasich,Ohio,2012,Republican
Mary Fallin,Oklahoma,2012,Republican
"John A. Kitzhaber, M.D.",Oregon,2012,Democrat
Tom Corbett,Pennsylvania,2012,Republican
Luis G. Fortuño,Puerto Rico,2012,Republican
Lincoln Chafee,Rhode Island,2012,Democrat
Nikki R. Haley,South Carolina,2012,Republican
Dennis Daugaard,South Dakota,2012,Republican
Bill Haslam,Tennessee,2012,Republican
Rick Perry,Texas,2012,Republican
Gary Richard Herbert,Utah,2012,Republican
Peter Shumlin,Vermont,2012,Democrat
"John de Jongh, Jr.",Virgin Islands,2012,Democrat
Robert McDonnell,Virginia,2012,Republican
Chris Gregoire,Washington,2012,Democrat
Earl Ray Tomblin,West Virginia,2012,Democrat
Scott Walker,Wisconsin,2012,Republican
Matthew Mead,Wyoming,2012,Republican
Robert Bentley,Alabama,2011,Republican
Sean Parnell,Alaska,2011,Republican
Togiola T. A. Tulafono,American Samoa,2011,Democrat
Jan Brewer,Arizona,2011,Republican
Mike Beebe,Arkansas,2011,Democrat
Edmund G. Brown,California,2011,Democrat
John Hickenlooper,Colorado,2011,Democrat
Dannel Malloy,Connecticut,2011,Democrat
Jack Markell,Delaware,2011,Democrat
Rick Scott,Florida,2011,Republican
Nathan Deal,Georgia,2011,Republican
Eddie Baza Calvo,Guam,2011,Republican
Neil Abercrombie,Hawaii,2011,Democrat
"C. L. ""Butch"" Otter",Idaho,2011,Republican
Pat Quinn,Illinois,2011,Democrat
Mitch Daniels,Indiana,2011,Republican
Terry E. Branstad,Iowa,2011,Republican
Sam Brownback,Kansas,2011,Republican
Steven L. Beshear,Kentucky,2011,Democrat
Bobby Jindal,Louisiana,2011,Republican
Paul LePage,Maine,2011,Republican
Martin O'Malley,Maryland,2011,Democrat
Deval Patrick,Massachusetts,2011,Democrat
Rick Snyder,Michigan,2011,Republican
Mark Dayton,Minnesota,2011,Democrat
Haley Barbour,Mississippi,2011,Republican
Jeremiah W. (Jay) Nixon,Missouri,2011,Democrat
Brian Schweitzer,Montana,2011,Democrat
Dave Heineman,Nebraska,2011,Republican
Brian Sandoval,Nevada,2011,Republican
John Lynch,New Hampshire,2011,Democrat
Christopher Christie,New Jersey,2011,Republican
Susana Martinez,New Mexico,2011,Republican
Andrew Cuomo,New York,2011,Democrat
Bev Perdue,North Carolina,2011,Democrat
Jack Dalrymple,North Dakota,2011,Republican
Benígno Fitial,Northern Mariana Islands,2011,Republican
John Kasich,Ohio,2011,Republican
Mary Fallin,Oklahoma,2011,Republican
"John A. Kitzhaber, M.D.",Oregon,2011,Democrat
Tom Corbett,Pennsylvania,2011,Republican
Luis G. Fortuño,Puerto Rico,2011,Republican
Lincoln Chafee,Rhode Island,2011,Democrat
Nikki R. Haley,South Carolina,2011,Republican
Dennis Daugaard,South Dakota,2011,Republican
Bill Haslam,Tennessee,2011,Republican
Rick Perry,Texas,2011,Republican
Gary Richard Herbert,Utah,2011,Republican
Peter Shumlin,Vermont,2011,Democrat
"John de Jongh, Jr.",Virgin Islands,2011,Democrat
Robert McDonnell,Virginia,2011,Republican
Chris Gregoire,Washington,2011,Democrat
Earl Ray Tomblin,West Virginia,2011,Democrat
Scott Walker,Wisconsin,2011,Republican
Matthew Mead,Wyoming,2011,Republican
Bob Riley,Alabama,2010,Republican
Sean Parnell,Alaska,2010,Republican
Togiola T. A. Tulafono,American Samoa,2010,Democrat
Jan Brewer,Arizona,2010,Republican
Mike Beebe,Arkansas,2010,Democrat
Arnold Schwarzenegger,California,2010,Republican
Bill Ritter,Colorado,2010,Democrat
M. Jodi Rell,Connecticut,2010,Republican
Jack Markell,Delaware,2010,Democrat
Charlie Crist,Florida,2010,Republican
Sonny Perdue,Georgia,2010,Republican
Felix P. Camacho,Guam,2010,Republican
Neil Abercrombie,Hawaii,2010,Democrat
"C. L. ""Butch"" Otter",Idaho,2010,Republican
Pat Quinn,Illinois,2010,Democrat
Mitch Daniels,Indiana,2010,Republican
Chet Culver,Iowa,2010,Democrat
Mark Parkinson,Kansas,2010,Democrat
Steven L. Beshear,Kentucky,2010,Democrat
Bobby Jindal,Louisiana,2010,Republican
John E. Baldacci,Maine,2010,Democrat
Martin O'Malley,Maryland,2010,Democrat
Deval Patrick,Massachusetts,2010,Democrat
Jennifer M. Granholm,Michigan,2010,Democrat
Tim Pawlenty,Minnesota,2010,Republican
Haley Barbour,Mississippi,2010,Republican
Jeremiah W. (Jay) Nixon,Missouri,2010,Democrat
Brian Schweitzer,Montana,2010,Democrat
Dave Heineman,Nebraska,2010,Republican
Jim Gibbons,Nevada,2010,Republican
John Lynch,New Hampshire,2010,Democrat
Christopher Christie,New Jersey,2010,Republican
Bill Richardson,New Mexico,2010,Democrat
David A. Paterson,New York,2010,Democrat
Bev Perdue,North Carolina,2010,Democrat
Jack Dalrymple,North Dakota,2010,Republican
Benígno Fitial,Northern Mariana Islands,2010,Republican
Ted Strickland,Ohio,2010,Democrat
Brad Henry,Oklahoma,2010,Democrat
Ted Kulongoski,Oregon,2010,Democrat
Edward G. Rendell,Pennsylvania,2010,Democrat
Luis G. Fortuño,Puerto Rico,2010,Republican
Don Carcieri,Rhode Island,2010,Republican
Mark Sanford,South Carolina,2010,Republican
Mike Rounds,South Dakota,2010,Republican
Phil Bredesen,Tennessee,2010,Democrat
Rick Perry,Texas,2010,Republican
Gary Richard Herbert,Utah,2010,Republican
Jim Douglas,Vermont,2010,Republican
"John de Jongh, Jr.",Virgin Islands,2010,Democrat
Robert McDonnell,Virginia,2010,Republican
Chris Gregoire,Washington,2010,Democrat
Earl Ray Tomblin,West Virginia,2010,Democrat
Jim Doyle,Wisconsin,2010,Democrat
Dave Freudenthal,Wyoming,2010,Democrat
Bob Riley,Alabama,2009,Republican
Sean Parnell,Alaska,2009,Republican
Togiola T. A. Tulafono,American Samoa,2009,Democrat
Jan Brewer,Arizona,2009,Republican
Mike Beebe,Arkansas,2009,Democrat
Arnold Schwarzenegger,California,2009,Republican
Bill Ritter,Colorado,2009,Democrat
M. Jodi Rell,Connecticut,2009,Republican
Jack Markell,Delaware,2009,Democrat
Charlie Crist,Florida,2009,Republican
Sonny Perdue,Georgia,2009,Republican
Felix P. Camacho,Guam,2009,Republican
Linda Lingle,Hawaii,2009,Republican
"C. L. ""Butch"" Otter",Idaho,2009,Republican
Pat Quinn,Illinois,2009,Democrat
Mitch Daniels,Indiana,2009,Republican
Chet Culver,Iowa,2009,Democrat
Mark Parkinson,Kansas,2009,Democrat
Steven L. Beshear,Kentucky,2009,Democrat
Bobby Jindal,Louisiana,2009,Republican
John E. Baldacci,Maine,2009,Democrat
Martin O'Malley,Maryland,2009,Democrat
Deval Patrick,Massachusetts,2009,Democrat
Jennifer M. Granholm,Michigan,2009,Democrat
Tim Pawlenty,Minnesota,2009,Republican
Haley Barbour,Mississippi,2009,Republican
Jeremiah W. (Jay) Nixon,Missouri,2009,Democrat
Brian Schweitzer,Montana,2009,Democrat
Dave Heineman,Nebraska,2009,Republican
Jim Gibbons,Nevada,2009,Republican
John Lynch,New Hampshire,2009,Democrat
Jon Corzine,New Jersey,2009,Democrat
Bill Richardson,New Mexico,2009,Democrat
David A. Paterson,New York,2009,Democrat
Bev Perdue,North Carolina,2009,Democrat
John Hoeven,North Dakota,2009,Republican
Benígno Fitial,Northern Mariana Islands,2009,Republican
Ted Strickland,Ohio,2009,Democrat
Brad Henry,Oklahoma,2009,Democrat
Ted Kulongoski,Oregon,2009,Democrat
Edward G. Rendell,Pennsylvania,2009,Democrat
Luis G. Fortuño,Puerto Rico,2009,Republican
Don Carcieri,Rhode Island,2009,Republican
Mark Sanford,South Carolina,2009,Republican
Mike Rounds,South Dakota,2009,Republican
Phil Bredesen,Tennessee,2009,Democrat
Rick Perry,Texas,2009,Republican
Gary Richard Herbert,Utah,2009,Republican
Jim Douglas,Vermont,2009,Republican
"John de Jongh, Jr.",Virgin Islands,2009,Democrat
Tim Kaine,Virginia,2009,Democrat
Chris Gregoire,Washington,2009,Democrat
Joe Manchin III,West Virginia,2009,Democrat
Jim Doyle,Wisconsin,2009,Democrat
Dave Freudenthal,Wyoming,2009,Democrat
Bob Riley,Alabama,2008,Republican
Sarah Palin,Alaska,2008,Republican
Togiola T. A. Tulafono,American Samoa,2008,Democrat
Janet Napolitano,Arizona,2008,Democrat
Mike Beebe,Arkansas,2008,Democrat
Arnold Schwarzenegger,California,2008,Republican
Bill Ritter,Colorado,2008,Democrat
M. Jodi Rell,Connecticut,2008,Republican
Ruth Ann Minner,Delaware,2008,Democrat
Charlie Crist,Florida,2008,Republican
Sonny Perdue,Georgia,2008,Republican
Felix P. Camacho,Guam,2008,Republican
Linda Lingle,Hawaii,2008,Republican
"C. L. ""Butch"" Otter",Idaho,2008,Republican
Rod R. Blagojevich,Illinois,2008,Democrat
Mitch Daniels,Indiana,2008,Republican
Chet Culver,Iowa,2008,Democrat
Kathleen Sebelius,Kansas,2008,Democrat
Steven L. Beshear,Kentucky,2008,Democrat
Bobby Jindal,Louisiana,2008,Republican
John E. Baldacci,Maine,2008,Democrat
Martin O'Malley,Maryland,2008,Democrat
Deval Patrick,Massachusetts,2008,Democrat
Jennifer M. Granholm,Michigan,2008,Democrat
Tim Pawlenty,Minnesota,2008,Republican
Haley Barbour,Mississippi,2008,Republican
Matt Blunt,Missouri,2008,Republican
Brian Schweitzer,Montana,2008,Democrat
Dave Heineman,Nebraska,2008,Republican
Jim Gibbons,Nevada,2008,Republican
John Lynch,New Hampshire,2008,Democrat
Jon Corzine,New Jersey,2008,Democrat
Bill Richardson,New Mexico,2008,Democrat
David A. Paterson,New York,2008,Democrat
Michael F. Easley,North Carolina,2008,Democrat
John Hoeven,North Dakota,2008,Republican
Benígno Fitial,Northern Mariana Islands,2008,Republican
Ted Strickland,Ohio,2008,Democrat
Brad Henry,Oklahoma,2008,Democrat
Ted Kulongoski,Oregon,2008,Democrat
Edward G. Rendell,Pennsylvania,2008,Democrat
Anibal Acevedo Vilá,Puerto Rico,2008,Democrat
Don Carcieri,Rhode Island,2008,Republican
Mark Sanford,South Carolina,2008,Republican
Mike Rounds,South Dakota,2008,Republican
Phil Bredesen,Tennessee,2008,Democrat
Rick Perry,Texas,2008,Republican
Jon Huntsman,Utah,2008,Republican
Jim Douglas,Vermont,2008,Republican
"John de Jongh, Jr.",Virgin Islands,2008,Democrat
Tim Kaine,Virginia,2008,Democrat
Chris Gregoire,Washington,2008,Democrat
Joe Manchin III,West Virginia,2008,Democrat
Jim Doyle,Wisconsin,2008,Democrat
Dave Freudenthal,Wyoming,2008,Democrat
Bob Riley,Alabama,2007,Republican
Sarah Palin,Alaska,2007,Republican
Togiola T. A. Tulafono,American Samoa,2007,Democrat
Janet Napolitano,Arizona,2007,Democrat
Mike Beebe,Arkansas,2007,Democrat
Arnold Schwarzenegger,California,2007,Republican
Bill Ritter,Colorado,2007,Democrat
M. Jodi Rell,Connecticut,2007,Republican
Ruth Ann Minner,Delaware,2007,Democrat
Charlie Crist,Florida,2007,Republican
Sonny Perdue,Georgia,2007,Republican
Felix P. Camacho,Guam,2007,Republican
Linda Lingle,Hawaii,2007,Republican
"C. L. ""Butch"" Otter",Idaho,2007,Republican
Rod R. Blagojevich,Illinois,2007,Democrat
Mitch Daniels,Indiana,2007,Republican
Chet Culver,Iowa,2007,Democrat
Kathleen Sebelius,Kansas,2007,Democrat
Steven L. Beshear,Kentucky,2007,Democrat
Kathleen Babineaux Blanco,Louisiana,2007,Democrat
John E. Baldacci,Maine,2007,Democrat
Martin O'Malley,Maryland,2007,Democrat
Deval Patrick,Massachusetts,2007,Democrat
